Female Number;Month;Year;Capture latitude;Capture longitude;Capture depth (m);Body weight (g);Fork length (cm);Gonad weight (g);Liver weight (g);Somatic fat content (%);Age (years);Oocyte diameter (µm);Developmental stage;Reproductive phase;POF (presence/type);POF1;POF2;POF3
1;1;2018;57,83225;149,5908334;147;12460;99;1408;184;1,551651994;17;2007,109658;PO;Spawning Capable;none;;;
2;1;2018;57,83225;149,5908334;147;14040;100;1420;246;1,580150611;13;1707,012623;GVM;Spawning Capable;none;;;
3;1;2018;57,83225;149,5908334;147;10880;91;152;318;3,284321763;16;540,1025473;Vtg1;Developing;none;;;
4;1;2018;57,83225;149,5908334;147;10030;92;784;220;4,83074242;12;2030,189936;PO;Spawning Capable;none;;;
5;1;2018;57,83225;149,5908334;147;11150;92;1594;234;1,632773603;16;1646,438694;PO;Spawning Capable;none;;;
6;1;2018;57,83225;149,5908334;147;17790;108;1660;220;2,375481529;16;2289,424355;PO;Spawning Capable;none;;;
7;1;2018;57,83225;149,5908334;147;11750;97;726;318;2,208691295;16;1737,601834;GVM;Spawning Capable;none;;;
8;1;2018;57,83225;149,5908334;147;10330;90;1618;236;2,176765732;17;1665,976235;GVM;Spawning Capable;none;;;
9;1;2018;57,83225;149,5908334;147;10050;95;1300;230;1,574409318;15;1622,721557;GVM;Spawning Capable;none;;;
10;1;2018;57,83225;149,5908334;147;12480;100;1326;146;1,909421212;15;1764,708129;PO;Spawning Capable;POF1;POF1;;
11;1;2018;57,83225;149,5908334;147;8820;91;642;118;1,730689988;13;1944,521483;PO;Spawning Capable;none;;;
12;1;2018;57,83225;149,5908334;147;15550;111;330;196;6,120232989;#N/A;499,3748177;PS;Regressing;POF2;;POF2;
13;1;2018;57,83225;149,5908334;147;14550;104;1142;258;#N/A;14;1596,078451;GVM;Spawning Capable;none;;;
14;1;2018;57,83225;149,5908334;147;11120;92;1632;132;1,79484769;14;2053,949086;PO;Spawning Capable;POF1;POF1;POF2;
15;1;2018;57,83225;149,5908334;147;12470;97;1592;268;1,80139284;#N/A;1625,996708;GVM;Spawning Capable;none;;;
16;1;2018;57,83225;149,5908334;147;14260;102;1898;302;2,445672573;15;1653,478644;GVM;Spawning Capable;none;;;
17;1;2018;57,83225;149,5908334;147;21890;118;3160;244;1,674911228;16;2295,700701;PO;Spawning Capable;none;;;
18;1;2018;57,83225;149,5908334;147;9230;90;1004;178;2,122002389;14;1729,351105;PO;Spawning Capable;none;;;
19;1;2018;57,83225;149,5908334;147;10900;95;850;104;1,861383756;13;1728,535746;PO;Spawning Capable;POF2;;POF2;
20;1;2018;57,83225;149,5908334;147;9890;96;240;146;2,649577427;14;431,1787607;PS;Regressing;POF1;POF1;POF2;
21;1;2018;57,83225;149,5908334;147;28740;125;3504;286;1,568688886;18;2082,139476;PO;Spawning Capable;POF1;POF1;;
22;1;2018;57,82416667;149,6175;160;10650;99;1302;232;1,749692688;15;1583,646446;GVM;Spawning Capable;none;;;
24;1;2018;57,82416667;149,6175;160;11170;93;1114;212;3,009578892;#N/A;1732,362614;GVM;Spawning Capable;none;;;
25;1;2018;57,82416667;149,6175;160;9830;91;492;116;1,902483553;15;1918,770644;PO;Spawning Capable;POF1;POF1;POF2;
26;1;2018;57,82416667;149,6175;160;14730;103;1564;266;1,888683765;13;1684,816934;GVM;Spawning Capable;none;;;
27;1;2018;57,82416667;149,6175;160;10770;93;872;188;2,153124765;14;1619,314534;GVM;Spawning Capable;none;;;
28;1;2018;57,82416667;149,6175;160;12970;97;1524;200;1,807961859;15;1616,011279;GVM;Spawning Capable;none;;;
29;1;2018;57,82416667;149,6175;160;9200;94;232;82;2,375481529;15;476,269029;PS;Regressing;POF2;;POF2;POF3
30;1;2018;57,82416667;149,6175;160;10390;98;234;112;3,064854712;15;502,68171;PS;Regressing;POF2;;POF2;
31;2;2018;57,82758334;149,5815833;168;15050;105;388;214;4,283970069;21;506,183635;Vtg1;Regressing;POF2;;POF2;POF3
32;2;2018;57,82758334;149,5815833;168;16520;112;454;124;1,574409318;12;363,3433737;PS;Regressing;POF2;;POF2;POF3
33;2;2018;57,82758334;149,5815833;168;12050;99;418;132;1,737001179;23;511,12645;PS;Regressing;POF2;;POF2;
34;2;2018;57,82758334;149,5815833;168;11920;103;276;130;3,064854712;17;467,0884947;PS;Regressing;POF2;;POF2;POF3
35;2;2018;57,82758334;149,5815833;168;10850;95;756;88;1,737001179;13;2516,400598;PO;Spawning Capable;POF2;;POF2;
36;2;2018;57,81858334;149,6000833;190;34360;139;1962;308;1,58591284;14;2083,333333;PO;Spawning Capable;POF2;;POF2;POF3
37;2;2018;57,81858334;149,6000833;190;20160;116;514;210;1,568688886;13;2100;PO;Spawning Capable;POF2;;POF2;
38;2;2018;57,81858334;149,6000833;190;12200;100;240;142;1,78832632;18;495,6049857;PS;Regressing;POF2;;POF2;
39;2;2018;57,75708334;149,51325;287;11260;96;292;126;1,574409318;15;502,654898;PS;Regressing;POF2;;POF2;
40;2;2018;57,75708334;149,51325;287;8080;89;140;74;2,106610307;13;519,930086;Vtg1;Regressing;POF2;;POF2;
41;2;2018;57,75708334;149,51325;287;10360;95;260;108;3,344643684;15;480,935535;PS;Regressing;POF2;;POF2;
42;2;2018;57,75708334;149,51325;287;8260;90;142;84;3,703506842;13;467,365999;Vtg1;Regressing;POF2;;POF2;POF3
43;2;2018;57,75708334;149,51325;287;13170;104;460;176;2,083731269;18;484,3263977;PS;Regressing;POF2;;POF2;POF3
44;2;2018;57,75708334;149,51325;287;12420;105;308;186;2,678669366;16;483,101941;PS;Regressing;POF2;;POF2;
45;2;2018;57,75708334;149,51325;287;12220;104;268;100;3,020553721;16;594,664447;Vtg1;Regressing;POF3;;;POF3
46;2;2018;57,75708334;149,51325;287;11400;104;162;162;1,546014248;18;491,186589;PS;Regressing;POF2;;POF2;
47;2;2018;57,75091667;149,57075;276;8150;89;220;90;1,994673077;13;421,3897133;PS;Regressing;POF3;;;POF3
48;2;2018;57,75091667;149,57075;276;9490;93;130;176;2,767875798;13;504,3466873;PS;Regressing;POF2;;POF2;
49;2;2018;57,75091667;149,57075;276;10340;94;244;142;1,644703568;16;399,1156827;PS;Regressing;POF2;;POF2;POF3
50;2;2018;57,75091667;149,57075;276;8950;92;166;118;1,58591284;14;453,3106153;PS;Regressing;POF1;POF1;POF2;POF3
51;2;2018;57,75091667;149,57075;276;8700;91;134;80;1,529223616;14;419,5326277;PS;Regressing;POF2;;POF2;
52;2;2018;57,75091667;149,57075;276;8480;92;228;82;1,540396985;13;458,4160563;PS;Regressing;POF2;;POF2;POF3
53;2;2018;57,75091667;149,57075;276;11590;98;332;148;2,366850494;17;484,8852823;PS;Regressing;POF2;;POF2;POF3
54;2;2018;57,75091667;149,57075;276;8600;94;172;108;1,762476929;13;474,3472377;PS;Regressing;POF2;;POF2;
55;2;2018;57,75091667;149,57075;276;7920;91;144;92;1,656720699;13;506,740614;Vtg1;Regressing;POF2;;POF2;POF3
56;2;2018;57,75091667;149,57075;276;11450;98;714;122;1,580150611;15;2461,454652;PO;Spawning Capable;POF2;;POF2;
57;2;2018;58,09791667;152,1200834;61;8930;93;74;160;2,122002389;11;503,9181517;CA;Developing;none;;;
58;2;2018;58,09791667;152,1200834;61;31170;137;712;764;1,909421212;18;586,759054;Vtg1;Regressing;POF3;;;POF3
59;2;2018;58,09791667;152,1200834;61;10120;93;229;168;1,597500413;15;503,0295433;Vtg1;Regressing;POF2;;POF2;POF3
60;2;2018;58,09791667;152,1200834;61;16820;110;294;290;1,718136316;14;470,6038953;Vtg1;Regressing;POF3;;;POF3
61;3;2018;57,81608333;149,57425;214;8830;92;192;122;2,611279069;15;541,6581397;Vtg1;Regressing;POF3;;;POF3
62;3;2018;57,81608333;149,57425;214;9010;91;80;116;3,087248268;13;476,0175943;CA;Developing;none;;;
63;3;2018;57,81608333;149,57425;214;8020;91;164;92;4,692099636;14;511,43863;Vtg1;Regressing;POF3;;;POF3
64;3;2018;57,81608333;149,57425;214;12840;103;270;164;2,208691295;17;568,016361;Vtg1;Regressing;POF2;;POF2;POF3
65;3;2018;57,81608333;149,57425;214;12310;99;262;180;4,026913356;18;524,4046157;Vtg1;Regressing;POF3;;;POF3
66;3;2018;57,81608333;149,57425;214;12670;100;236;152;1,580150611;19;586,6248907;Vtg1;Regressing;POF3;;;POF3
67;3;2018;57,81608333;149,57425;214;9840;95;188;90;1,987425666;13;580,2485127;Vtg1;Regressing;POF3;;;POF3
68;3;2018;57,81608333;149,57425;214;11440;95;206;162;4,012282037;18;513,1727553;Vtg1;Regressing;POF3;;;POF3
69;3;2018;57,81608333;149,57425;214;12650;106;278;90;2,737815024;19;551,419448;Vtg1;Regressing;POF3;;;POF3
70;3;2018;57,81608333;149,57425;214;11910;96;242;188;2,076160275;22;688,7871173;Vtg2;Developing;none;;;
71;3;2018;57,81608333;149,57425;214;12400;105;198;86;1,662762151;16;520,572413;Vtg1;Regressing;POF3;;;POF3
72;3;2018;57,81608333;149,57425;214;16450;109;94;246;6,187432173;12;308,3744847;CA;Developing;none;;;
73;3;2018;57,81608333;149,57425;214;10150;94;218;146;2,290568788;17;519,9238307;Vtg1;Regressing;POF2;;POF2;POF3
74;3;2018;57,81608333;149,57425;214;9050;93;154;100;2,208691295;12;562,0265427;Vtg1;Regressing;POF3;;;POF3
75;3;2018;57,81608333;149,57425;214;16910;113;368;202;1,650701198;16;452,10953;Vtg1;Regressing;POF3;;;POF3
76;3;2018;57,81608333;149,57425;214;11290;98;266;122;1,868171539;15;541,7189247;Vtg1;Regressing;POF3;;;POF3
77;3;2018;57,81608333;149,57425;214;8780;90;194;152;2,912582562;16;482,0867443;Vtg1;Regressing;POF3;;;POF3
78;3;2018;57,81608333;149,57425;214;9250;93;168;114;2,966076886;16;458,9454217;Vtg1;Regressing;POF3;;;POF3
79;3;2018;57,81608333;149,57425;214;9510;94;128;104;5,52719341;13;488,6327203;Vtg1;Regressing;POF3;;;POF3
80;3;2018;57,80875;149,6413333;172;11810;100;224;112;2,01657427;12;549,5048613;Vtg1;Regressing;POF3;;;POF3
81;3;2018;57,80875;149,6413333;172;8620;91;126;82;2,97689308;11;468,8207177;Vtg1;Regressing;POF3;;;POF3
82;3;2018;57,80875;149,6413333;172;9880;95;171;62;1,568688886;13;522,3918083;Vtg1;Regressing;POF2;;POF2;POF3
83;3;2018;57,80875;149,6413333;172;14100;105;196;222;3,020553721;14;582,9647087;Vtg1;Developing;none;;;
84;3;2018;57,80875;149,6413333;172;14620;112;248;106;2,031308498;15;541,285962;Vtg1;Regressing;POF3;;;POF3
85;3;2018;57,80875;149,6413333;172;17120;113;317;148;1,615040713;18;512,953833;Vtg1;Regressing;POF2;;POF2;POF3
86;3;2018;57,80875;149,6413333;172;12310;102;164;176;1,895571101;13;543,7591663;Vtg2;Developing;POF3;;;POF3
87;3;2018;57,80875;149,6413333;172;10790;96;161;63;1,551651994;13;447,436381;Vtg1;Regressing;POF2;;POF2;POF3
88;3;2018;57,80875;149,6413333;172;8910;90;190;84;1,80139284;14;437,1223367;Vtg1;Regressing;POF3;;;POF3
89;3;2018;57,80875;149,6413333;172;9420;93;174;118;1,951581688;13;482,7754343;Vtg1;Regressing;POF3;;;POF3
90;3;2018;57,80875;149,6413333;172;9220;96;144;94;2,053611942;13;520,1216413;Vtg1;Regressing;POF3;;;POF3
91;4;2018;57,8635;149,47325;305;9180;91;196;126;1,781828646;16;546,8112137;Vtg1;Regressing;POF3;;;POF3
92;4;2018;57,8635;149,47325;305;15250;107;322;162;2,427932728;18;568,057388;Vtg1;Regressing;POF2;;POF2;POF3
93;4;2018;57,8635;149,47325;305;23600;126;428;244;3,190061405;15;561,052989;Vtg1;Regressing;POF3;;;POF3
94;4;2018;57,8635;149,47325;305;8920;94;158;90;3,166922088;13;546,1201137;Vtg1;Regressing;POF3;;;POF3
95;4;2018;57,8635;149,47325;305;11780;101;172;100;2,727867493;13;547,910956;Vtg1;Regressing;POF2;;POF2;POF3
96;4;2018;57,8635;149,47325;305;8720;95;156;84;2,688437489;12;555,3070223;Vtg1;Regressing;POF2;;POF2;POF3
97;4;2018;57,8635;149,47325;305;14910;108;178;132;1,762476929;9;538,6065703;Vtg1;Regressing;POF3;;;POF3
98;4;2018;57,88258334;149,358;341;15140;109;230;144;2,375481529;12;545,489571;Vtg1;Regressing;POF2;;POF2;POF3
99;4;2018;57,88258334;149,358;341;8270;92;140;96;1,994673077;13;599,5965113;Vtg1;Developing;none;;;
100;4;2018;57,88258334;149,358;341;12990;104;266;110;1,568688886;18;616,907963;Vtg1;Regressing;POF2;;POF2;POF3
101;4;2018;57,88258334;149,358;341;9530;96;230;104;1,821171847;14;526,8661787;Vtg1;Regressing;POF2;;POF2;POF3
102;4;2018;57,86625;149,4159167;356;8040;90;160;74;1,994673077;13;539,3402577;Vtg1;Regressing;POF3;;;POF3
103;4;2018;57,86625;149,4159167;356;8280;90;176;92;1,881821453;15;608,14276;Vtg1;Regressing;POF3;;;POF3
104;4;2018;57,86625;149,4159167;356;14030;107;344;126;1,580150611;17;610,3537017;Vtg1;Regressing;POF3;;;POF3
105;4;2018;57,86625;149,4159167;356;10260;100;222;106;2,332638816;24;618,9857267;Vtg1;Regressing;POF3;;;POF3
106;4;2018;57,86625;149,4159167;356;9260;95;184;122;1,650701198;20;575,5977387;Vtg1;Regressing;POF3;;;POF3
107;4;2018;57,86625;149,4159167;356;10320;95;210;110;2,747798831;15;569,2909113;Vtg1;Regressing;POF3;;;POF3
108;4;2018;57,90516667;149,2983334;312;11260;96;224;102;1,743335384;16;629,9771403;Vtg1;Regressing;POF2;;POF2;POF3
109;4;2018;57,90516667;149,2983334;312;11720;99;204;117;1,834478355;13;518,6057717;Vtg1;Regressing;POF2;;POF2;POF3
110;4;2018;57,90516667;149,2983334;312;9170;95;210;116;1,687149074;13;521,590444;Vtg1;Regressing;POF3;;;POF3
111;4;2018;57,90516667;149,2983334;312;10700;99;192;92;4,012282037;15;590,7356267;Vtg2;Developing;POF3;;;POF3
112;4;2018;57,90516667;149,2983334;312;9860;95;208;86;2,436786507;14;525,6859267;Vtg1;Regressing;POF2;;POF2;POF3
113;4;2018;57,90516667;149,2983334;312;10570;95;222;98;1,861383756;16;614,2277197;Vtg1;Regressing;POF3;;;POF3
114;4;2018;57,90516667;149,2983334;312;12120;101;224;116;3,296298479;15;569,263944;Vtg1;Regressing;POF2;;POF2;POF3
115;4;2018;57,90516667;149,2983334;312;14880;109;372;136;1,687149074;15;592,5166677;Vtg1;Regressing;POF3;;;POF3
116;4;2018;57,90516667;149,2983334;312;10240;97;190;112;1,574409318;15;632,377038;Vtg1;Regressing;POF2;;POF2;POF3
117;4;2018;57,90516667;149,2983334;312;7360;90;172;68;1,568688886;13;449,0586037;Vtg1;Regressing;POF3;;;POF3
118;4;2018;57,90516667;149,2983334;312;11720;97;280;120;3,344643684;16;511,7981247;Vtg1;Regressing;POF3;;;POF3
119;4;2018;57,90516667;149,2983334;312;11520;97;212;170;3,320383094;16;631,471987;Vtg1;Regressing;POF2;;POF2;POF3
120;4;2018;57,90516667;149,2983334;312;9930;95;186;114;2,224829238;14;565,191198;Vtg1;Regressing;POF3;;;POF3
121;5;2018;57,82975;149,5911667;153;11730;104;210;144;1,620930174;15;526,6943837;Vtg1;Developing;none;;;
122;5;2018;57,82975;149,5911667;153;8160;92;170;82;1,557310299;14;551,116356;Vtg1;Developing;none;;;
123;5;2018;57,82975;149,5911667;153;9500;95;146;76;1,768904036;#N/A;432,6887187;Vtg1;Regressing;POF2;;POF2;POF3
124;5;2018;57,82975;149,5911667;153;11520;97;252;170;1,557310299;15;644,1747523;Vtg2;Developing;none;;;
125;5;2018;57,82975;149,5911667;153;10070;97;164;86;1,973009744;14;522,8250397;Vtg1;Regressing;POF3;;;POF3
126;5;2018;57,82975;149,5911667;153;8910;90;185;110;1,580150611;17;480,832023;Vtg1;Regressing;none;;;
127;5;2018;57,82975;149,5911667;153;14200;104;300;162;1,937425764;18;555,0949413;Vtg1;Developing;none;;;
128;5;2018;57,82975;149,5911667;153;8420;90;184;88;1,930386353;15;502,9437243;Vtg1;Regressing;POF3;;;POF3
129;5;2018;57,82975;149,5911667;153;12700;103;234;102;1,546014248;15;535,2504033;Vtg1;Regressing;POF3;;;POF3
